Any,Precip_Acum_Gener,Precip_Acum_Febrer,Precip_Acum_Marc,Precip_Acum_Abril,Precip_Acum_Maig,Precip_Acum_Juny,Precip_Acum_Juliol,Precip_Acum_Agost,Precip_Acum_Setembre,Precip_Acum_Octubre,Precip_Acum_Novembre,Precip_Acum_Desembre
1992,47.5,  8.7,26.7,26.3,103.1,162.3,61.4,45.4,24.2,70.5,  0.3,18.9
1993,  0.0,25.2,96.2,98.5,25.0,  8.4,21.6,59.1,248.1,63.2,31.3,  0.0
1994,15.4,48.2,59.0,42.4,42.2,44.6,  0.3,  4.9,272.5,156.7,49.9,  9.6
1995,  9.4,12.6,  7.2,35.4,24.5,30.3,  4.8,68.7,142.2,18.8,65.8,84.4
1996,128.0,27.6,55.9,119.5,68.4,89.2,  1.0,43.4,73.4,110.9,137.1,128.0
1997,152.1,  0.2,  5.2,62.3,10.0,60.7,26.3,24.9,26.5,32.4,52.9,118.5
1998,85.0,  6.4,  8.3,14.8,13.6,  9.6,  4.1,49.8,87.3,71.0,  9.6,125.6
1999,49.0,  0.4,14.4,29.0,35.6,15.6,10.5,  5.3,171.7,116.1,61.6,12.2
2000,26.6,  1.1,47.5,80.4,85.4,17.2,  1.9,13.7,56.4,61.1,13.9,63.9
2001,84.2,21.0,17.1,34.0,31.9,  3.0,80.4,16.4,48.7,36.8,67.8,31.0
2002,46.3,20.3,85.7,113.6,122.9,37.4,125.9,97.7,33.6,161.9,65.7,52.5
2003,24.6,154.5,15.8,16.5,52.9,  0.0,  4.3,31.4,97.9,150.8,16.6,36.0
2004,  2.6,107.1,68.2,128.9,36.6,14.5,32.1,12.0,71.1,27.9,  9.8,77.6
2005,  0.0,55.6,18.3,14.1,33.3,11.5,  7.8,41.7,105.6,127.1,140.3,  3.1
2006,150.4,19.1,18.2,  7.2,  3.0,  1.5,  0.1,43.7,154.1,37.9,  1.5,37.9
2007,  6.2,35.3,19.3,119.6,36.3,  0.0,  0.7,91.7,  9.9,157.9,  1.0,15.7
2008,29.8,36.5,25.6,24.3,120.9,36.9,55.9,11.8,25.8,83.2,51.6,96.8
2009,68.9,41.5,74.1,88.8,15.0,  6.8,45.0,  0.4,29.3,103.8,  4.8,45.9
2010,62.4,95.9,76.9,24.1,154.1,35.7,13.0,24.5,95.5,91.5,14.2,32.8
2011,41.6,24.4,185.2,18.4,89.1,109.4,104.8,  0.8,  7.3,81.4,203.1,  0.0
